,label,text,osp
45,guilt,"I've always defended my sister when needed, at the expense of my brother. This has led to feelings of guilt towards him.",2
46,anger,"When I talked with a teacher yesterday who, to say the least, was rude and unwise and had irrelevant opinions about a friend.",1
47,fear,I was walking along the passage to my room (very near the anatomy laboratory) and I heard something and felt that there was some thing behind me.  I looked back and there was no one.  I started imagining that maybe it was a corpse.,2
48,disgust,When I boarded Yanu Yanu bus I sat near a man who was smoking tobacco.,2
49,joy,Finding out that I can go to your English lectures.,2
50,guilt,When I told the driver at my workplace to lie and tell the boss that it was not me who was responsible for the delay.  The boss was very annoyed and the driver was punished and a day's salary was taken away from him.,1
51,fear,"I was to meet one of my friends (girl) at the library at 8:00 already dark. She would be walking alone. She was 45 minutes late but I kept waiting, calling her room and other places she could have been.",2
52,guilt,"Borrowing a car, and then having a minor accident (breaking a headlight).",1
53,guilt,"A friend of mine got encouragement and I did not, as the supervisor did not like me.",1
54,guilt,"Always, and this happens often when I do not keep my word.",1
55,disgust,I'm very disgusted when I see people abusing their body with drugs and alcohol. They take advantage of these things usually for an excuse for the fantasies which they like and so they do things stupidly and unjustly.,0
56,shame,I am ashamed when I am not prepared in a subject and I have to answer in the presence of the patients.,1
57,disgust,I was disgusted to find out that the water isn't filtered or purified before it leaves Latimer Hall from the drains.,2
58,anger,Being treated unfairly.,0
59,joy,When I had my children.,2
60,shame,"Recently, I left my bag in the car of someone who picked me up while hitch-hiking. I spent some effort to find out where he lived (I succeeded).",2
61,fear,Continous fear of a nuclear war.,1
62,shame,"I met a friend in a discotheque. he was with a girl and he told me that she was not his girlfriend.  I, to say something, commented that she must be a viscious woman.  He then told me that she was his girl.",2
63,anger,"Unjust accusations directed at me and my way of acting, by someone close to me.  ",2
64,anger,I was angry at the Cafeteria when the cook scolded and said many bad things about me without reason. He thought I was among the girls who did him wrong.,1
65,fear,My mother had not come home at midnight.  She had forgotten to tell me about it.  I was very young and all alone at home.,1
66,fear,When our school was raided by the pupils of the boys secondary school who beat us up.,1
67,sadness,A very close friend left me.,0
68,joy,Saw in TV that China had the most gold medals in the Asian Olympic.,2
69,fear,"My episode of fright happened when I came to study.  I had to stand in front of my still unknown fellow students and talk about myself.  My hands shook, I flushed and became tongue-tied.",1
70,joy,"That was soon after the results of the interview which nearly 9,000 people attended in all the three regions of Malawi. My joy came after hearing on the radio that I was one of the people selected to undergo the Medical Assistant training at the L.S.H.S.",0
71,anger,When the person I'm having the affair with won't talk to me in public.,2
72,disgust,When a friend of mine got drunk and started to blame and scorn my other friends and me.,1
73,guilt,I escaped from communicating with God for a long time.  I did not read the scriptures and I did not pray.  I felt that I was getting further and further away from God.  I felt guilty as this was because of my laziness.,1
74,fear,I found myself involved in a fight in which a person died and I had to intervene with some risk.,1
75,guilt,When I decided to take a week s holiday without consulting the family first.,2
76,guilt,A friend came to visit me and I was not there.,1
77,anger,"During a trivial (friendly) discussion, one of the participants made an intervention which made me feel uncomfortable.",1
78,anger,"The landlord had selected a new lodger on her own, while we used to do that it was not what she had done, but how she did it that made me angry.",1
79,disgust,"I had a class-mate who was rather stupid.  I did not like him but I respected him.  When he tried to talk to someone, they would not listen to him and I could not bear seeing this.",1
80,guilt,"Some time ago I took the driving test. I did answer the theoretical questions very well, but I failed the practical driving test. It was my fault because I had not enough practice.",2
81,disgust,"Observing someone in the cafeteria noisily gulping in his food, having extremely bad manners.",1
82,disgust,When the summer holiday job was almost over.,2
83,anger,When I was punished in school for no serious mistake of mine.,1
84,shame,"My teacher reminded us not to do a Summer job, however I did it for two months.  Yesterday I was chatting with my teacher and when we talked of the Summer job, I felt ashamed.",1
85,guilt,When I was about 17 years old and I stole some pens from a stationery store because I didn't have enough money.,2
86,disgust,Whenever I see an alcoholic.,2
87,guilt,I feel this feeling most often before me not before the others. My outside is iron but actually I'm wasting away.,1
88,shame,I said something especially stupid which I did not mean at all.,1
89,disgust,"I once got a phone call stating ""one of your friend is in jail, please come and see him"".  When I went to the jail and saw him, I was disgusted.",0
90,guilt,I felt guilty at being part of the successful people. Felt guilty at being a student when other people were not. Guilt about being a potential success in various areas of society. (So stupid this emotion),2
91,shame,My father who is very quiet discovered I was going out with a coloured boy. He called me names and was really upset.,2
92,disgust,When I heard the bad news about the death of a close person.,1
93,disgust,"After buying a ticket, I lost it before I reached my destination and the bus Inspector dropped me at a place I didn't know.",2
94,joy,"I met a dear friend of mine after a long time.  I expressed my feelings in our own usual way, by mutual scolding and abusing (with complete understanding) and by touching, patting and taking the hand of the other person, etc...",0
95,guilt,As a child - accidentally stepping on a pet guinea-pig - it dying.,0
96,shame,A professor was going to read aloud in class a composition of mine in which I had criticized some political attitudes and also some class-mates.   I was ashamed at having written that.,2
97,sadness,A friend told me about his cousin who is my girlfriend. He said she had treated him in a mean and nasty way. I was surprised because in front of other people she had always treated him in a friendly way. I am very sad about it.,1
98,sadness,At set-backs.,2
99,guilt,It is some years ago when my mother found me stealing relish in the pot. It was fresh fish which was very appetising.,2
100,shame,I didn't do an important job and it had an adverse effect on other people.,1
101,shame,I was angry about 3 months ago and I kicked backwards against the wall. It caved in and so I had to show it to my parents. I had been angry after my mother said something to me about not being able to find clothes in my size - something that I'm sensitive about. (6' 5'' 210),1
102,shame,I took a girl out once and discovered that she was going around with one of my close friends.,0
103,fear,Once I failed seven subjects at school and I was terrified to give my report card to my father.  I left it on the table and went to bed very early in order to avoid him seeing me.,2
104,disgust,"A drunkard fell, started bleeding and wet himself.  Disgust that turned into sadness-unpleasantness.",2
105,guilt,When I did not give back a text book to a friend in time.,1
106,shame,"I was sitting in a restaurant with friends. They asked me something which they thought I should know. Actually I know it, but at that time I was not able to remember it.",2
107,shame,Insulted by a teacher in front of the class.,2
108,shame,"When my mother looked in my drawer (where I keep my personal things) and she found some porno photos that I have kept from more than a week, and split it.",2
109,fear,"It was a week before the higher level results were announced.  I had tried and failed many times and this was the last time that I was taking the exam.  I knew that if i failed again I woulld have to enter the society.  I imagined things during this period - I dreamt that I had entered university and it was a nice experience.  When I thought about the future, an unexplainable fear rose in me.  I feared being a worker and not having a bright prospect, I also feared the criticism of my relatives as my brother had gone to university.  Whenevr I thought of this issue I could not eat or concentrate, and my heart beat increased.",1
110,shame,"When I asked my classmate to teach me to do my homework, he asked me to study by myself first but I did not do it.  When he asked me  if I had studied, I felt very ashamed. ",2
111,shame,When I dated a close girlfriend's boyfriend a few times. He told me that it was over between them and I accepted it.  When she found out she finished our friendship.,0
112,fear,When I was cycling past a parked car someone opened the door and nearly pushed me off my bike and into the traffic.,2
113,sadness,"My grandfather died, when I was an exchange student in the USA.",1
114,guilt,I was at school and afterwards went to work. After work I went to see a friend and stayed out late. when I got home my mother was awake and I felt guilty.,2
115,sadness,At the begining of a new course one is afraid of encountering problems one can not manage.  Thoughts revolve around failing the subject and the consequences it would have for the future.,1
116,fear,Walking in the dark and thinking about ghost stories.,1
117,shame,"After our sad first of May party, I felt ashamed because the friends who had been invited had to suffer.  We, the organizers of the party, did not drive the intruders away.",1
118,joy,I was very happy when I passed and went to form I.  It was a great relief for me as I had been very worried considering the large number of pupils who fail.,0
119,shame,"When I was leaving home I decided to leave without saying good-bye to my young brother.  My brother saw me and said,        "" Will you not say good-bye to me?""  He is only 31/2 years old. ",2
120,disgust,A sour looking man was beating his thin dog in Remuera.,1
121,disgust,"I was returning from the Universtity at night when I was accosted by a boy who molested me, passing his hands on my body.",2
122,sadness,After training for an Australian championship competition for a year and then injuring myself 2 weeks before the competiotion.,1
123,sadness,A close friend of mine had not contacted me for a long time.,1
124,sadness,Lecturers being unfair to me in reports.,2
125,sadness,I missed the last tram home and had to walk in the pouring rain.,1
126,joy,"When I passed the B.A exams and my parents allowed me to carry on my studies and do a M.A. , I was very happy.",0
127,fear,I had climbed on a cherry tree alone and there was a thick caterpillar beside my fingers. I feel disgusted by caterpillars and snakes. I was terribly afraid of the caterpillar crawling on my fingers. Out of the fear I was almost unable to climb down.,1
128,anger,I had an exam and I had it well prepared.  I did the first part very well but did not know the second part.,0
129,joy,Renewed contact with an earlier friend.,0
130,disgust,"When a drunkard, in town yelled at me saying that I was a prostitute.",2
131,anger,Someone told me that he would stay at my home for one night. Therefore I made big efforts to make everything ok (food). One day before he cancelled the appointment because he had to go to church with his parents.,2
132,sadness,I was so sad when I heard that my Uncle had passed away. He was the only man who was supporting my parents as well as myself.,1
133,fear,I was moving in the graveyard at 6.00 pm one day and was griped by fear because I was told that ghosts detain people moving there at night.,2
134,shame,When I fell down.,1
135,shame,I feel ashamed at the fact that even after 35 years of independence   70% of the Indian poulation is still below the poverty line.,1
136,anger,When I was left by the person I loved without any reason.,0
137,shame,When you betray the trust you have been given. This is connected with copying at a class-work at school.,2
138,joy,This week I was phoned by an old friend with whom I lost contact a few years ago.,2
139,disgust,An Engineer I know wants war so he can get a job making bombs.,1
140,fear,"When somebody broke into our home one night when my mother was out, and my sister and I had just gone to bed.",2
141,fear,Damaged the tap in the residental Hall.,1
142,anger,"When my room-mate was making noise deliberately, by playing a flute early in the morning while I was trying to study.",0
143,disgust,My boss on the job failed to keep his promise about something he knew was extremely important to me.,2
144,joy,When my husband and I decided to take a few days holiday after a particularly trying period.,2
145,shame,Finding out China is backward in science.,0
146,anger,"When a so-called friend let me down, when she promised to tell me when a certain concert was occurring, and that she'd get me tickets. I was really looking forward to it. She did nothing, just told me out of the blue one day what a fantastic concert it was going to be.",2
147,fear,"I felt fear when I sat for one of my exams. Though my fear was not quite justifiable, I still remember about it.",1
148,sadness,A friend of mine got pregnant anf failed the first year at university.  The boyfriend refused his responsibility and they ended up in court.,2
149,disgust,"When I came to know that my father and his parents were : self interested, dirty, negative, egoist, bad peolpe,......",1
150,shame,"The day my boyfriend saw and touched my breasts when I was without my shirt, only with my pants.",2
151,guilt,When I applied for a false travelling claim allowance and later I thought that I would be found out.,1
152,sadness,My boyfriend didn't turn up after promising that he was coming.,2
153,fear,"In a rather important exam, when they caught me red handed copying.",2
154,anger,"At my father's treatment of my mother, at his disregard for her, and not being committed to her.",1
155,guilt,When I was young I felt guilty because I thought that I had commited a grave sin.,2
156,sadness,"My father suddenly fell ill. He stayed for 3 months in the hospital: the last month on intensive care of the Academic Hospital, then he died.",1
157,joy,"It appeared that I gave correct answers to all questions during an examination of personality while I thought I performed very badly. Even now, I don't know how I managed it.",0
158,fear,When I was little I lost control of my bike and started to go into a buay intersection but my neighbor stopped me just in time.,2
159,joy,A party I went to last Christmas.,1
160,sadness,The death of a close friend.,2
161,sadness,I did not do as well as I expected on a chemistry exam. I received a score below the average and I thought I had done very well.,0
162,fear,Watching a horror film.,1
163,sadness,I talked to my boyfriend on the phone when I was in high spirits and had a lot to tell him.  I had been looking forward to this conversation and he did not listen to me to the extent that I had anticipated.,1
164,anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died.  I could not  understand how normal people could behave in such a way.",1
165,disgust,"A railways officer, when asked by the ticket checker to produce his tickets, got very aggressive and started abusing and using his authority in a very wrong way.",2
166,joy,I was very happy when I got the message that I had been accepted as a student in medicine.,0
167,shame,I was very much ashamed after a friend beat me at school and I was defeated.,0
168,fear,When I was just to be divorced.,0
169,guilt,Not finishing homework in time.,1
170,joy,"I was in ILHA GRANDE with a wonderful sun, with wonderful people, with a wonderful sea, with a wonderful boy.",0
171,shame,"My grades. When my parents say, ""How are you doing at school, getting good grades ?"" I say, ""Great, just fine !"" Actually, I feel ashamed about myself.",0
172,fear,I was skiing alone and the mountain became covered with mist and I thought I was lost and was going to panic.,2
173,sadness,I was very sad when I heard that my brother had failed the standard 8 exams for the third time.,1
174,guilt,When I didn't notify someone that he was summoned by a headmaster and as a result he ended being on a heavy punishment.,2
175,joy,Meeting an old friend from high school.,0
176,shame,I received the results of the test paper of my major subject and I found that my result was not as good as a classmate who had recently changed his major subject.    I felt very ashamed.,2
177,guilt,I was trying to have sex with my best friend's girl but she did not agree to it.,0
178,fear,"Together with a little brother I biked on a lonely road in the Polder. Then we were annoyed by a boy on a motorbike: he took over, stopped, took over, etc. Then we saw he had something in his hand, we turned until we came across a man, who accompanied us.",2
179,fear,When my friend was involved in a car accident.,1
180,sadness,My best friend suddenly acting strange towards me.,0
181,fear,I woke up in the middle of the night as I had jumped and shouted with fear.  I thought that someone's cold hand or something similar had touched my hand.  I crept down under the covers and went back to sleep.,1
182,sadness,Sometimes I experience sadness for the Sports High School and for my unrealized dreams in the sport. Anyway there I spent six years of my life.,1
183,shame,When I failed to answer a simple question.,1
184,guilt,Many years back I quarrelled with my younger brother for a small reason.  I used a pole to beat him and nearly broke his arm.  He recovered after a treatment which lasted several months.  After this our relationship was worse and he would not listen to me.,1
185,anger,NO RESPONSE.,0
186,anger,I was most angry when India lost the Triangular Cricket trophy held in Australia.  I was so angry that I fought (orally) with my friend.,1
187,sadness,When my parents got divorced.,2
188,disgust,I saw a physically handicapped young man whose spittle ran out of his mouth while speaking.,1
189,anger,"I am one of four directors of a company. We inherited land held by our family - ours is the 5th generation. A ""democratic"" decision was made to stap-bank an area of mangroves.",2
190,joy,"When you are satisfied with something, when you achieve something you have striven to.",2
191,disgust,"I detest any kind of constraint and hate the attempts of elder people to force me to a norm of behavior without having legal or moral rights to do it. I felt this emotion when a neighbour of mine made me kick out my guests because they had talked very loudly and threatened that with ""connections"" she will expel me from the inst.",2
192,disgust,"I was disgusted when I was told to dress a big rotten stinky wound which, coming closer, made me feel like vomitting.",2
193,anger,"When my friends left without waiting for me, after we had arranged to go out together.",2
194,disgust,When I am dirty because I have not had a shower for a few days.,1
195,anger,Being put down by the class leaders.,2
196,joy,"When I got admission in M.Sc (I) Organic Chemistry, I was very happy.",0
197,fear,Fear of punishment for having broken an item of value to my parents.,1
198,guilt,I stole a coconut cake from a reception table and when I put in my mouth I realized that the host was watching me.,2
199,sadness,"When my grandfather whom I had met only once for 3 weeks, died after several months. I was really sad because he was a lovely person and I did not have the means for his company.",1
200,sadness,When my grandmother died. I had lived with her for ten years.,2
201,sadness,When I learned that my dad had cancer. I knew he was going to the hospital for some tests. My mom told me when she picked me up one weekend from CAL to take me home.,0
202,disgust,When the N.Z. rugby union announced that they would proceed with a rugby tour of South Africa.,2
203,guilt,When I failed an exam for which I knew that I had not studied hard enough.,1
204,disgust,I felt disgust after watching a picture on television about torturing political prisoners in India (this happened in the India of Indira Ghandi).,2
205,shame,"The first time that I caressed a girl, I was about thirteen and she was eighteen.  I noticed that it did not affect her at all.",2
206,disgust,"I saw a man falling on the walkway. He seemed half dead, and was immobile. I felt disgust for the people who passed by without doing anything to help.",1
207,joy,When I passed an important exam.,0
208,shame,When I was about seven or eight I was caught having stolen a doll's dress from my next-door neighbour.,2
209,guilt,When my friend ended up pregnant by a gentleman whom I considered to be good and faithful but he ended up neglecting her and not bothering about her.,2
210,fear,Slept in a chapel and in the middle of the night I realized that there was someeone else in the chapel.  I never discovered who it was and why he was there.,2
211,shame,"My father died 4 years ago, 18 months after my mother died. I feld my sister was responsible for his death, in that she ""hadn't loved him"". I felt ashamed for myself, and for my family.",0
212,joy,When I was selected to come here.,2
213,shame,My cousin and I were at the farm and at night we drunk like fools and made a lot of noise.  We had drunk two much of wine.,2
214,shame,Cannot recall the emotion with any force.,2
215,joy,When I fell crazily in love with a beautiful girl and she returned my love.,0
216,disgust,I am disgusted with a nieghbour who is looking for all sorts of quarrel with my parents and me. He feels we are hampering his living close to us. This has been going on for quite a long time.,2
217,joy,I passed my MCE Examination. at first I was worried but when I heard my name I had joy in my heart and I arranged for a trip to attend a wedding ceremony.,0
218,sadness,When my grandfather died.,1
219,disgust,After a serie of facts that occurred between a colleague and me I started to feel a certain necessity to get apart and I didn't want to see her anymore.,2
220,anger,"In the house where I live there is a new flatmate. His friends unfortunately are the dirt of society, intelligent, fashonable, rich and bored. At a party recently they were doing things I didn't like done in my house. I felt angry at them.",1
221,disgust,A lie on the part of a person close to me.,0
222,disgust,When I needed another job and tought that a good and known person (my employer) could help me. He simply said that he couldn't help me.,0
223,anger,When I had an argument with my best friend and I thought that I was right and she was not.,0
224,anger,"My sister and I were fighting as usual. She's older tham I am, bigger built and stronger I couldn't win in a physical battle and in a verbal battle I couldn't seem to get through to her to really hurt her.",2
225,anger,Because I am the Captain of a basketball team I usually organise a roster system so that everyone in the team can have a turn at doing either a duty or a ref. A lot of the time the girls can't be bothered or just forget - I usually have to fill in.,2
226,joy,I came across a friend with whom I had lost touch for a long time.,2
227,shame,"I was catched when, as a little girl, I played tricks. I was very startled then and wet my pants.",2
228,sadness,"When I realized that my girlfriend, whom I like, and I were going to separate.",0
229,guilt,Not handing in homework in time.,1
230,guilt,Not finishing homework in time.,1
231,sadness,When I was accused of neglecting work for the wrong reasons.,1
232,anger,People having a football match outside the window during the lecture.,2
233,guilt,I failed to complete a working task within the agreed time.,2
234,joy,When I passed the university entrance exam.  I had thus finished with a difficult period of my life and I was about to begin one which I had desired a lot.,1
235,fear,Because of a conflict with my parents there was a possibility to interrupt my studies.,1
236,anger,"There was a sofa in my flat which belonged to the old tenants who were acquaintances.  It should have been picked up a year ago but they had postponed it.  Eventually they decided on one date and I stayed at home despite the fact that I had other things to do.  They did not come, nor did they call and they still have not got in touch with me.",1
237,sadness,"I arranged with a friend to go skating the next day. He asked me to wake him up by telephone at twelve o'clock because we had come home late in the morning. Next day I called him - he was not at home. As something like that had happened to me several times before, I came to the conclusion that one cannot rely on anybody and I felt very sad.",1
238,anger,"One day my room-mate started imitating me, doing what I had done a few hours back.  I got very angry and started beating him up.",2
239,disgust,When I had to finish those big amounts of homework in time.,2
240,sadness,"I remember the day my father died. I was 11 years old and my sadness was so great that until today I remember everything about that day, from the clothes I was wearing to the reactions of people, the despair of my mother and brother. It marked me a lot and was the greatest sadness I felt.",1
241,guilt,"When my parents fight lots of time, when I'm the reason of the fight, I feel guilty.",2
242,disgust,When a friend didn't invite her own parents to her Graduation ceremony.,0
243,fear,When I flew from Athens to Copenhagen after a holiday.  The plane was caught in a storm and it began to shake and I thouhght that we were going to crash.,1
244,shame,"When I hadn't studied for an exam, so I pretended to be sick so I wouldn't have to go to school. I lied to my mother - she realized I had been lying when she got home from work and found that I had been over to a friend's place.",2
245,fear,"I had an appointment with a good friend. He came 3 hours later than we agreed upon. During the last hour of waiting I was afraid something might had happened, because usally he is in time.",2
246,guilt,When I don't go to my parents on Sunday and phone them to tell them that I have to study. The truth is that I listened to sports on the radio.,2
247,anger,I was drawn up a statement for an infringement of the traffic ordinance. In fact I was innocent.,0
248,shame,Asking someone to give me back the money I once lend him because I needed it myself.,2
249,anger,I planned to travel a distance of 20 kilometres on my bike. I planned this when I was working in the hospital. When I went to the house I found that a friend had taken my bike without my consent.,2
250,joy,I was very happy when I found out that I had passed with flying colours and that I had made it to the university.,0
251,disgust,A person I know who tells lies and so pretending to be better than she is.,0
252,disgust,When I entered a brothel and saw two sailors with a young prostitute who was not older than 18.,1
253,joy,"Inter-national sports events won by my favourite national team or player brings me joy, e.g when India won the World cup cricket match.",0
254,fear,I was a passenger in a vehicle when suddenly another vehicle came from behind to overtake us.  However another one was coming right in front so the other vehicle changed course and blocked our way and so we crashed against the side of the road.,2
255,anger,I had an accident with damage to the car body.,1
256,sadness,My cat died painfully and slowly.,1
257,guilt,When I deny something to my sister and after a while I feel sorry and try to bypass the situation.,1
258,shame,Not doing well in an examn which was easy.,1
259,shame,When I was caught with someone's daughter.,2
260,joy,A party with friends on New Year's Eve.,2
261,guilt,I felt guilty when I failed to take an exam though I had had enough time to read for it but I hadn't made use of it.,2
262,fear,"When I was a child, I fell into a cellar (when playing) and could be freed only with big difficulties.",2
263,joy,After 3 weeks I saw my girlfriend again.,2
264,disgust,When my roommate came home at 10 in the morning after sleeping with a guy she did not know because she got drunk. (Se has a boyfriend too).,1
265,shame,I wrote a letter to my father to ventilate my bottled up feelings. Afterwards I thought it was too negative.,1
266,joy,When I passed my B.A exams.,2
267,anger,When some friends betrayed my friendship.,1
268,guilt,When I used to tell Mum I was going somewhere else than where I was (going).,0
269,fear,Anatomy lesson and told we have to do it at night sometimes.,2
270,disgust,I am disgusted at the number of second year students who are pregnant illegitimately.,1
271,joy,When I found out I had passed all of my university exams.,2
272,disgust,When I failed my first biochemistry test.,1
273,fear,"I was in the dark room, it's insecure and has holes covered with wooden sheets in the roof the establishment had already been assaulted and could be assaulted again.",1
274,disgust,"I was listening to a priest in church saying how sinful man was, and how all men should renounce their desires and pleasures to please God. I could never understand how something that brings you joy could be a sin.",2
275,anger,Argument with roommate over a lock he had put on kitchen cupboard without telling anyone.,2
276,disgust,When an untidy and heavyly drunk person made endeavours to approach me.,2
277,joy,When they told me that I had been admitted to the faculty of medicine.,2
278,sadness,I felt sad when my first boyfriend and I left each other. It was neither his fault nor mine.,1
279,sadness,"Looking up end-of-semester results, and finding I'd failed three out of seven (subjects).",2
280,disgust,"A man whom I like, was drunk and tried to molest me.",0
281,shame,I told a lie about someone to someone else and they found out   and questioned me about it.,0
282,joy,"Walking along the beach with a friend (another girl), talking, picking up shells, laughing, chasing seagulls.",2
283,fear,When there is danger nearby.,2
284,joy,A friend came to tell me that her father invited me to go on holiday with them in Benidorm otherwise I could not afford to go on holiday.,1
285,disgust,"A similar feeling I felt quite recently while travelling in a taxi. The driver treated me roughly and dishonestly - he chose the longest route, he overdrawed almost one lev more and he tried to be intimate with me.",0
286,fear,I was within a hair's breadth of knocking down a drunkard who suddenly ran into the street.  The fear came later when I     realized what could have happened.,1
287,sadness,My father's death in January 1983 moved me deeply.  The gloom prevailed for almost two years and I am still to recover from it.,1
288,anger,I was stood up for a date function by someone who I really cared for.,0
289,guilt,"I promised my friends that I would take care of something, but I kept forgetting about it.  When they asked me about it, I promised to do it immediately.  However, I got started only after a couple of months.  I felt that I had betrayed my friends.",1
290,joy,The situation in which I felt happiest in my life was when I was with the person I love for the first time.,0
291,fear,I had worries about a certain illness.,0
292,sadness,At an unjust insult or injure.,1
293,fear,Somebody told her friend that she would hit me wherever we would meet.,2
294,sadness,When I left a man in whom I really believed.,0
295,shame,"I insulted two of my friends because I thought that had been gossiping about me right under my nose, however I later found out that they were not doing so.",1
296,guilt,"I often feel guilty, and it has to do with other people, e.g. if I haven't visited my older relatives for a while.",2
297,joy,When I was at the end-of-term party last week and had fun - was happy and sang and drank only soft drinks.  It is possible to have a good time without alcohol.,0
298,fear,"I was seven years old and swimming outside the flags at the Gold Coast. I was caught in a rip and taken out about 100 m. I couldn't swim too well, but an older friend (17) swam out and saved me.",0
299,sadness,All my friends arranged to go for an afternoon snack and they did not tell me.  They told me that they did not have my phone number but I do not think that this was true.,1
300,shame,I was to take part in a cocktail party on the occasion of our national holiday as a servant.,2
301,disgust,In broad daylight I saw an untidy old man pissing and playing with his penis in the middle of the town.,1
302,guilt,I felt guilty when I once went out with another boy and made love with him while I had a close boyfriend.,0
303,joy,My boyfriend was playing with my cat. He was playing games with her and telling nice things to her. ,0
304,shame,"Like guilt - the most ashamed I have ever felt was when I began to feel guilty about having sex with my boyfriend when it was only ""the thing to do"", and not really an act of love.",1
305,shame,As a child when I was blamed for peeing in the swimming-pool.,1
306,shame,"I remember when I was in Standard 6, I failed one of the terminal tests and I told my parents that I had passed but after they found out from the class teacher that I had failed, I was proved a liar.",1
307,fear,Before an examination.,2
308,anger,Someone messing up the room we share.,0
309,joy,"""Boy, you have been admitted to the medicine school and your uncle is coming back fron Canada next week,"" my father told me and it was a happy moment.",0
310,anger,I felt angry when I failed in an exam about which I knew quite a few things and I did not deserve to be plucked.,1
311,joy,When I passed the driving test three weeks ago and got my licence.,2
312,joy,When I met a friend that I hadn't seen for some time.,0
313,sadness,"I am always sad when my boyfriend goes away. He lives and studies in an other city. We have gone steady for 2 and 1/2 years and everything is going very well, but sometime this situation makes me feel bad and very lonely.",1
